ID	allele_type
MTBC_700	core
MTBC_701	core
MTBC_702	core
MTBC_703	core
MTBC_704	core
MTBC_705	core
MTBC_706	core
MTBC_707	core
MTBC_708	core
MTBC_709	core
MTBC_710	core
MTBC_711	accessory
MTBC_712	core
MTBC_713	accessory
MTBC_714	core
MTBC_715	core
MTBC_716	core
MTBC_717	core
MTBC_718	core
MTBC_719	core
MTBC_720	core
MTBC_721	core
MTBC_722	core
MTBC_723	accessory
MTBC_724	accessory
MTBC_725	core
MTBC_726	core
MTBC_727	core
MTBC_728	core
MTBC_729	core
MTBC_730	core
MTBC_731	core
MTBC_732	core
MTBC_733	core
MTBC_734	accessory
MTBC_735	accessory
MTBC_736	accessory
MTBC_737	core
MTBC_738	core
MTBC_739	accessory
MTBC_740	core
MTBC_741	core
MTBC_742	core
MTBC_743	core
MTBC_744	core
MTBC_745	core
MTBC_746	core
MTBC_747	core
MTBC_748	core
MTBC_749	core
MTBC_750	core
MTBC_751	core
MTBC_752	core
MTBC_753	core
MTBC_754	core
MTBC_755	core
MTBC_756	core
MTBC_757	core
MTBC_758	accessory
MTBC_759	core
MTBC_760	core
MTBC_761	core
MTBC_762	accessory
MTBC_763	accessory
MTBC_764	accessory
MTBC_765	accessory
MTBC_766	core
MTBC_767	core
MTBC_768	core
MTBC_769	core
MTBC_770	core
MTBC_771	core
MTBC_772	core
MTBC_773	core
MTBC_774	core
MTBC_775	core
MTBC_776	core
MTBC_777	core
MTBC_778	core
MTBC_779	core
MTBC_780	accessory
MTBC_781	core
MTBC_782	core
MTBC_783	core
MTBC_784	core
MTBC_785	core
MTBC_786	core
MTBC_787	core
MTBC_788	core
MTBC_789	core
MTBC_790	core
MTBC_791	core
MTBC_792	core
MTBC_793	core
MTBC_794	core
MTBC_795	core
MTBC_796	accessory
MTBC_797	core
MTBC_798	core
MTBC_799	accessory
MTBC_800	core
MTBC_801	core
MTBC_802	core
MTBC_803	core
MTBC_804	core
MTBC_805	accessory
MTBC_806	core
MTBC_807	core
MTBC_808	core
MTBC_809	core
MTBC_810	core
MTBC_811	core
MTBC_812	core
MTBC_813	core
MTBC_814	core
MTBC_815	accessory
MTBC_816	core
MTBC_817	accessory
MTBC_818	core
MTBC_819	core
MTBC_820	core
MTBC_821	core
MTBC_822	core
MTBC_823	core
MTBC_824	core
MTBC_825	core
MTBC_826	core
MTBC_827	core
MTBC_828	accessory
MTBC_829	core
MTBC_830	core
MTBC_831	core
MTBC_832	core
MTBC_833	accessory
MTBC_834	core
MTBC_835	core
MTBC_836	core
MTBC_837	accessory
MTBC_838	core
MTBC_839	core
MTBC_840	core
MTBC_841	core
MTBC_842	core
MTBC_843	core
MTBC_844	accessory
MTBC_845	core
MTBC_846	core
MTBC_847	core
